model,b,delta,delta_sd,null_mean,excess,n_rep,time_s
dinov2_l,4,0.029594121159985026,0.00010506955443965084,0.04318442937999134,-0.013590308220006314,20,73.48246979713441
dinov2_l,5,0.02967170005625493,0.00012213090971747298,0.043128153427503056,-0.013456453371248123,20,57.38385319709778
dinov2_l,6,0.0298966878819972,0.00011203419849140454,0.04318703331351953,-0.013290345431522334,20,58.82050657272339
dinov2_l,7,0.02953805089962942,0.00010447943752903484,0.043172143692178325,-0.013634092792548907,20,60.58345293998718
dinov2_l,8,0.02966244208764748,0.00011909334433192134,0.043103951459753015,-0.013441509372105524,20,75.37961292266846
dinov2_l,9,0.029774443621626533,0.00012201317181845725,0.04314956281313829,-0.013375119191511756,20,78.44178533554076
dinov2_l,10,0.029745667444269694,0.00015388507926070472,0.043145531309510696,-0.013399863865240998,20,81.38233613967896
dinov2_l,11,0.02975601587428282,0.00013959440206538413,0.043126811643023684,-0.013370795768740857,20,81.37450885772705
dinov2_l,12,0.029641211297187664,0.00014758151002182014,0.04317433492949585,-0.013533123632308186,20,74.38481497764587
dinov2_l,13,0.029844523734454325,0.00013174431827325006,0.04316052535027297,-0.013316001615818637,20,67.96443510055542
dinov2_l,14,0.029932596378162743,0.00011514286608002172,0.04316317980858568,-0.013230583430422934,20,74.48078966140747
dinov2_l,15,0.029596175348915205,0.00010009300277995104,0.04316976928500735,-0.013573593936092143,20,75.32578611373901
dinov2_l,16,0.02967471721986962,0.00011792065990757732,0.04315932356724099,-0.013484606347371373,20,75.09560322761536
dinov2_l,17,0.029931550985585413,0.00010717761760904743,0.04316803835601826,-0.013236487370432851,20,72.7482964992523
dinov2_l,18,0.0299276779348762,0.00012903070544997678,0.04316940578837642,-0.013241727853500224,20,74.35750555992126
dinov2_l,19,0.02971061916025919,8.943171926405429e-05,0.043174507952953176,-0.013463888792693987,20,74.72036623954774
dinov2_l,20,0.0299143385902624,0.00011792369250519468,0.043165636677669074,-0.013251298087406674,20,71.47013759613037
dinov2_l,21,0.02965854676094835,0.00011670122685197356,0.04313200463178689,-0.013473457870838538,20,76.1105420589447
dinov2_l,22,0.02968366089600418,0.00010011482345100652,0.043167354284490464,-0.013483693388486276,20,73.19506192207335
dinov2_l,23,0.02983941016286386,9.251255574102671e-05,0.04319571491709908,-0.013356304754235215,20,69.15676069259644
dinov2_l,24,0.02955535757518108,9.282897299199432e-05,0.043164991667169805,-0.013609634091988723,20,70.09803533554077
dinov2_l,25,0.029873654684623094,0.0001226780568179437,0.04312804853141795,-0.013254393846794856,20,75.89957308769227
dinov2_l,26,0.029925224282391926,0.00011407445362148452,0.043168330045001216,-0.01324310576260929,20,76.42972064018251
dinov2_l,27,0.02977441368722116,9.885484572280591e-05,0.043146626497498265,-0.0133722128102771,20,72.88990664482118
dinov2_l,28,0.02943042137774624,0.00011113245661095515,0.0431457731715449,-0.013715351793798666,20,75.73716545104979
dinov2_l,29,0.029653579589520886,0.0001212753409100346,0.04321279535913482,-0.013559215769613928,20,71.13286995887756
dinov2_s,-1,0.05293377280502317,0.00023910565046815884,0.06928892904952336,-0.016355156244500187,20,38.831816911697395
