cloud,frame,seed,dec_seed,depth,z,star_sd,time_s,built
synthetic_flat_vitl_spectrum,balanced,0,1,-0.014128158884039597,-1.7521597466614431,0.005283079398637958,187.59494829177856,wn30
synthetic_flat_vitl_spectrum,balanced,0,2,-0.011077299245043555,-1.6587313482793553,0.0019473730730602075,283.69830822944635,wn30
synthetic_flat_vitl_spectrum,balanced,0,3,-0.0146637037771427,-2.5550428842260007,0.0024540362681651435,368.50532865524286,wn30
synthetic_flat_vitl_spectrum,balanced,0,4,-0.013471534619209049,-1.9424335405752815,0.0018056087303583508,378.84326004982,wn30
synthetic_flat_vitl_spectrum,balanced,0,5,-0.010742835597477551,-1.6787832766098318,0.003151565357842005,375.4366934299469,wn30
synthetic_flat_vitl_spectrum,balanced,0,6,-0.014268886972787869,-2.4691430716578044,0.0033404841554131423,364.6462225914002,wn30
synthetic_flat_vitl_spectrum,balanced,0,7,-0.01630394123892988,-3.220375883628169,0.0016946829018473415,349.62031984329224,wn30
synthetic_flat_vitl_spectrum,balanced,0,8,-0.013337780663398106,-2.278160518415332,0.0025346763604437352,364.2968528270722,wn30
synthetic_flat_vitl_spectrum,balanced,0,9,-0.016935724077574803,-3.330265111605593,0.002167456749920523,279.92858052253723,wn30
synthetic_flat_vitl_spectrum,balanced,1,-1,-0.03093846584866872,-3.3531663655452792,0.002692699690376241,126.12608742713928,wn30
synthetic_flat_vitl_spectrum,balanced,1,0,-0.014190192757297219,-2.6700215271431813,0.000976796433324846,172.69006061553955,wn30
synthetic_flat_vitl_spectrum,balanced,1,1,-0.0114274694619111,-2.0936765379669557,0.002941832842288711,177.80534100532532,wn30
synthetic_flat_vitl_spectrum,balanced,1,2,-0.01118986920152383,-1.8507337870299905,0.002442050988179418,276.3869879245758,wn30
synthetic_flat_vitl_spectrum,balanced,1,3,-0.012860626381600258,-2.3942723406524866,0.002884709336187737,353.54112839698786,wn30
synthetic_flat_vitl_spectrum,balanced,1,4,-0.013030031564655379,-2.283292541195375,0.002640158910855034,340.83010649681086,wn30
synthetic_flat_vitl_spectrum,balanced,1,5,-0.014709900356524069,-2.6740690032135044,0.0025459788645253354,370.50557279586786,wn30
synthetic_flat_vitl_spectrum,balanced,1,6,-0.01529496020995774,-2.8321401766809617,0.002409640383420855,341.61786198616034,wn30
synthetic_flat_vitl_spectrum,balanced,1,7,-0.011732929539891615,-1.608452796218457,0.003053193424547049,354.1582865715027,wn30
synthetic_flat_vitl_spectrum,balanced,1,8,-0.012530797543982505,-2.0142234738573097,0.0031795827557060227,354.2481579780578,wn30
synthetic_flat_vitl_spectrum,balanced,1,9,-0.011938450965207638,-2.538056728970835,0.0019306800426331925,329.29897665977484,wn30
synthetic_flat_vitl_spectrum,balanced,2,-1,-0.024939895874558585,-2.680763172187693,0.0023558513002604675,132.9664545059204,wn30
synthetic_flat_vitl_spectrum,balanced,2,0,-0.015109435799191568,-2.5998696958509933,0.002489235482793125,173.59136962890625,wn30
synthetic_flat_vitl_spectrum,balanced,2,1,-0.01577363112741689,-2.6521671982070707,0.004235697413856839,173.07017827033997,wn30
synthetic_flat_vitl_spectrum,balanced,2,2,-0.014511156659571743,-2.4646777582190023,0.002812039745880842,254.4114332199097,wn30
