model,C,mode,seed,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s,delta_sup_exp19,excess_sup_exp19,nc_adv_pp,nc_R,nc_H
dinov2_g,200,coherent,1,0.04843123300559843,0.0004806020298867323,0.06108984446424225,0.0010014649827406613,-0.012658611458643823,200,0.0049751243781094535,123.19491982460022,0.10028829715008653,-0.0184323551648076,-0.450000000000006,0.8527,0.8482
dinov2_g,200,coherent,2,0.05574998975980612,0.0003156679680408823,0.07345718093753302,0.0014802606322096795,-0.0177071911777269,200,0.0049751243781094535,111.66485166549684,0.0984955809446,-0.028948233235180032,-0.6099999999999994,0.8157,0.8096
dinov2_g,200,coherent,3,0.032986724215493035,0.00024105435395674037,0.05671340438603645,0.0006416210088029122,-0.023726680170543413,200,0.0049751243781094535,108.13126587867737,0.0640276714609153,-0.053608558525658885,1.4900000000000024,0.8140000000000001,0.8289
dinov2_g,200,coherent,4,0.05440952117927006,0.0005173012974623506,0.07534069640110737,0.0015734569278925338,-0.020931175221837326,200,0.0049751243781094535,109.46426796913148,0.11320963790394982,-0.01613317968907153,-0.5099999999999993,0.8022,0.7971
dinov2_g,200,random,0,0.044044130749323084,0.0005420681792121241,0.05280565660410515,0.0005360862268645363,-0.00876152585478207,200,0.0049751243781094535,137.9827527999878,0.08473767033698389,-0.03083325528016088,1.29999999999999,0.8745,0.8875
dinov2_g,200,random,1,0.030556746853514824,0.0002987368217269997,0.05248035640149309,0.0005389605572655829,-0.02192360954797826,200,0.0049751243781094535,145.235595703125,0.060943969965362686,-0.0541184783863899,1.2499999999999956,0.8766,0.8891
dinov2_g,200,random,2,0.03443975787931736,0.0002835796860340157,0.050405488578335975,0.0005930234159648638,-0.015965730699018618,200,0.0049751243781094535,142.57733368873596,0.08020624650144854,-0.03419462346612066,1.3499999999999956,0.8932,0.9067
dinov2_g,200,random,3,0.03794915040030573,0.001036487726969128,0.05175930196127819,0.0005328135712129894,-0.013810151560972456,200,0.0049751243781094535,142.25998759269712,0.08508296106188502,-0.029598186937384068,1.0099999999999998,0.8899,0.9
dinov2_g,200,random,4,0.03397867020543082,0.0002877155049547839,0.050477247254880786,0.0005444451288639503,-0.016498577049449972,200,0.0049751243781094535,141.49286985397342,0.06750095117120218,-0.046890996253212615,1.4699999999999935,0.9021,0.9168
dinov2_g,500,coherent,0,0.0295403826430753,0.00021190796375340835,0.046620429116869436,0.0004271335539781437,-0.017080046473794144,200,0.0049751243781094535,212.04246807098392,0.06835080874623506,-0.0198459698283566,0.4960000000000076,0.7686,0.77356
