model,dataset,K,variant,n_star,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov2_b,cifar100,5,iso,10,0.0019931743187772827,-0.00775841464307619,0.0024167511906289588,0.009751588961853474,2.361385287610612,0.11196180005418092,0.002229551727113432,20.30153489112854
dinov2_b,cifar100,5,aniso,10,0.0019931743187772827,-0.0004338105569233614,0.003798972550738207,0.002426984875700644,0.4792526120044144,0.11196180005418092,0.002229551727113432,22.51732015609741
dinov2_l,cifar100,20,iso,10,0.015079305975625916,-0.027303476477575236,0.002614639126046737,0.04238278245320115,6.771298955826616,0.0983998808058492,0.0019029998758363226,23.5351722240448
dinov2_l,cifar100,20,aniso,10,0.015079305975625916,0.002544517252148726,0.008804286863925453,0.012534788723477191,1.1959256982243915,0.0983998808058492,0.0019029998758363226,19.910418987274173
dinov2_l,cifar100,10,iso,10,0.006486293949833313,-0.01755452128571153,0.003268623846390745,0.024040815235544844,5.2706509360899165,0.0983998808058492,0.0019029998758363226,23.677149295806885
dinov2_l,cifar100,10,aniso,10,0.006486293949833313,-0.0003175451505879112,0.004280486850169944,0.006803839100421224,1.2757349803951523,0.0983998808058492,0.0019029998758363226,23.918687105178837
dinov2_l,cifar100,5,iso,10,0.001558917747472882,-0.007239063497159626,0.0020353852734066227,0.008797981244632509,3.083749124727748,0.0983998808058492,0.0019029998758363226,22.9421226978302
dinov2_l,cifar100,5,aniso,10,0.001558917747472882,0.0014275349386186384,0.0058127377284173855,0.00013138280885424398,0.02137370789341615,0.0983998808058492,0.0019029998758363226,22.904396057128906
dinov1_b,imagenet,30,iso,10,-0.00906988886920436,-0.007229534593538034,0.000864301486061917,-0.0018403542756663255,-0.2101799010197012,0.11314413824770322,0.005554511413452446,82.93398523330687
dinov1_b,imagenet,30,aniso,10,-0.00906988886920436,-0.00016967049073578905,0.0036925701918515217,-0.00890021837846857,-0.9404819250777352,0.11314413824770322,0.005554511413452446,87.17996883392334
dinov1_b,imagenet,10,iso,10,-0.007533975402010673,-0.014288884424354963,0.002267286495259209,0.00675490902234429,0.6556048987741021,0.11314413824770322,0.005554511413452446,82.09117412567139
