model,dataset,b,n_per_class,delta,excess
dinov2_l,dtd,11,80,0.09939745786658422,-0.08863296500302442
dinov2_l,dtd,12,80,0.09432389648483148,-0.09377274056245498
dinov2_l,dtd,13,80,0.10408128824356427,-0.08416958646740691
dinov2_l,dtd,14,80,0.10838090050092025,-0.08025900037495054
dinov2_l,dtd,15,80,0.09191520679671483,-0.09841652566412995
dinov2_l,dtd,16,80,0.10560145240677317,-0.08424752966379488
dinov2_l,dtd,17,80,0.09632805229052825,-0.09231524490447603
dinov2_l,dtd,18,80,0.10124113450091254,-0.0877652431235671
dinov2_l,dtd,19,80,0.10210990891773465,-0.0857299345425233
dinov2_l,dtd,20,80,0.09697399428781293,-0.09423835640151342
dinov2_l,dtd,21,80,0.10005640770474451,-0.09032993211306183
dinov2_l,dtd,22,80,0.10118677954785822,-0.08670831814459874
dinov2_l,dtd,23,80,0.09597375922669914,-0.09286972308565107
dinov2_l,dtd,24,80,0.10177358856618472,-0.08737308000009426
dinov2_l,dtd,25,80,0.10455703063249507,-0.0853049652498241
dinov2_l,dtd,26,80,0.09880349887725447,-0.08934508386682856
dinov2_l,dtd,27,80,0.10161348785528838,-0.08794484253691183
dinov2_l,dtd,28,80,0.10964096618110981,-0.07825831743979482
dinov2_l,dtd,29,80,0.10492416654355126,-0.08596241418411828
dinov2_g,dtd,-1,80,0.10989949095325842,-0.08146311606668978
dinov2_g,dtd,0,80,0.11128538204924499,-0.07947667822795376
dinov2_g,dtd,1,80,0.10796576036290184,-0.08259111168074004
dinov2_g,dtd,2,80,0.10178666216811603,-0.0879074798584955
dinov2_g,dtd,3,80,0.10316514559926432,-0.08732762891425938
dinov2_g,dtd,4,80,0.10951614955497534,-0.07975283585875491
dinov2_g,dtd,5,80,0.10347691044888797,-0.08487817233977361
dinov2_g,dtd,6,80,0.10511360206261594,-0.08585223479190932
dinov2_g,dtd,7,80,0.10246776475045034,-0.08780065151618398
dinov2_g,dtd,8,80,0.1062462442868519,-0.08315170492251141
dinov2_g,dtd,9,80,0.10880676001031842,-0.08116695415168845
dinov2_g,dtd,10,80,0.09817847481307883,-0.0908593543391253
dinov2_g,dtd,11,80,0.09530435603310157,-0.09443015768471304
dinov2_g,dtd,12,80,0.09255026400310888,-0.09764993606093032
dinov2_g,dtd,13,80,0.10609487003032432,-0.08379466053456207
dinov2_g,dtd,14,80,0.11108411850350745,-0.07806770159711864
dinov2_g,dtd,15,80,0.09302789953929654,-0.09688818737590103
dinov2_g,dtd,16,80,0.10347225777158463,-0.08623657799052444
dinov2_g,dtd,17,80,0.09694319256257962,-0.093390733102431
dinov2_g,dtd,18,80,0.10677941856282915,-0.08183300611475995
dinov2_g,dtd,19,80,0.10162022041417024,-0.08860209772134314
dinov2_g,dtd,20,80,0.10622447408741893,-0.08400439067566469
dinov2_g,dtd,21,80,0.10362653136038556,-0.08690393592617864
dinov2_g,dtd,22,80,0.10168999334686202,-0.08836549366906987
dinov2_g,dtd,23,80,0.0976483222926355,-0.09191382386823214
dinov2_g,dtd,24,80,0.10222907222790839,-0.08771789150941661
dinov2_g,dtd,25,80,0.10259491985288942,-0.08730295101044204
dinov2_g,dtd,26,80,0.10211227378091843,-0.08719312287760476
dinov2_g,dtd,27,80,0.11065211595663489,-0.07927335581157822
dinov2_g,dtd,28,80,0.11253197042486322,-0.07835339096119244
dinov2_g,dtd,29,80,0.10447127166362606,-0.0863260149148843
clip_b,dtd,-1,80,0.11979528802337282,-0.062114019769686765
clip_b,dtd,0,80,0.13281487666914255,-0.04821126015237209
clip_b,dtd,1,80,0.12421151479425896,-0.057592767035479664
clip_b,dtd,2,80,0.1407563661537498,-0.04182822288114246
clip_b,dtd,3,80,0.11984850529142808,-0.061339892484237726
clip_b,dtd,4,80,0.12369305590429948,-0.058404202834378235
clip_b,dtd,5,80,0.12948388871493727,-0.052497499719838525
clip_b,dtd,6,80,0.1207378713497637,-0.06086237000507767
clip_b,dtd,7,80,0.11923533126221068,-0.06211584832529528
clip_b,dtd,8,80,0.11924040892174285,-0.0617159364973905
clip_b,dtd,9,80,0.11591072300785991,-0.06608990330325566
clip_b,dtd,10,80,0.12325494331729188,-0.05842418337715878
clip_b,dtd,11,80,0.12027257889137694,-0.06126465236481404
clip_b,dtd,12,80,0.12625301723156107,-0.05535683193133811
clip_b,dtd,13,80,0.12488761262189553,-0.05716862961917256
clip_b,dtd,14,80,0.12392854000926827,-0.05861433090659436
clip_b,dtd,15,80,0.12000170345079038,-0.061587398758517695
