model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,store_centroids,time_s
i21k_t,dtd,0.1105465467483246,0.0002472334637240465,0.13694875333498538,0.00878499767847574,-0.026402206586660773,-3.0041849002448044,1.0,200,0.0049751243781094535,0,63.79232215881348
i21k_s,dtd,0.09584507552385388,0.0003461725965027012,0.13338158572316014,0.007782884439351646,-0.03753651019930629,-4.818192435427818,1.0,200,0.0049751243781094535,0,63.91937041282654
i21k_b,dtd,0.08885700661181575,0.0004494266024590538,0.13278522587336514,0.007211234331940691,-0.04392821926154941,-6.079840511515653,1.0,200,0.0049751243781094535,0,64.07486724853516
i21k_l,dtd,0.07733017339604878,0.0003670979005732898,0.13349821774601725,0.006927264965527073,-0.05616804434996847,-8.096895757943514,1.0,200,0.0049751243781094535,0,64.39769148826599
dinov1_b,dtd,0.095200424225416,0.0003949681991277883,0.13890433524308338,0.007626437351679602,-0.04370391101766738,-5.722910543766982,1.0,200,0.0049751243781094535,0,64.17208576202393
dinov2_s,dtd,0.10531931977064338,0.00042696525002554325,0.14025871668337686,0.007024811895596569,-0.034939396912733484,-4.964551340518533,1.0,200,0.0049751243781094535,0,63.67337894439697
dinov2_b,dtd,0.07665548771119285,0.00038836079159903727,0.1363537233560432,0.006146031054659884,-0.05969823564485036,-9.693964815067778,1.0,200,0.0049751243781094535,0,64.2703959941864
dinov2_l,dtd,0.06926402629604357,0.0003943455218830268,0.1364136483798762,0.0058617473801695465,-0.06714962208383263,-11.429728580501328,1.0,200,0.0049751243781094535,0,64.38684892654419
dinov2_g,dtd,0.07308887946938485,0.0002303184640741918,0.13651595322966195,0.006045261920627091,-0.0634270737602771,-10.484424225664702,1.0,200,0.0049751243781094535,0,64.8613646030426
clip_b,dtd,0.09882658147110926,0.00018551046647280768,0.13655433205369008,0.008543270432882052,-0.03772775058258082,-4.415037492485742,1.0,200,0.0049751243781094535,0,63.85534191131592
clip_l,dtd,0.09791602685789023,0.0002366032967465189,0.13978754946486965,0.007817146722617714,-0.041871522606979385,-5.3539172172175205,1.0,200,0.0049751243781094535,0,63.33706665039063
siglip_b,dtd,0.0961696797036115,0.00023303961698772178,0.1372836500673114,0.0075769663365472095,-0.04111397036369992,-5.42361367542896,1.0,200,0.0049751243781094535,0,61.55608892440796
i21k_t,fashionmnist,0.1533356490177405,0.0,0.15235060425317787,0.025529013469970132,0.000985044764562626,0.03858530474439748,0.475,95,0.527363184079602,0,58.59598422050476
i21k_s,fashionmnist,0.10164670080883054,0.0,0.15175577818819735,0.024221028302021788,-0.05010907737936682,-2.068825351035327,0.99,198,0.01492537313432836,0,56.25868797302246
i21k_b,fashionmnist,0.09840654422505626,0.0,0.1581427723090371,0.025456272144879718,-0.059736228083980825,-2.346621207693059,0.995,199,0.009950248756218905,0,56.24427390098572
i21k_l,fashionmnist,0.09336748126687247,1.3877787807814454e-17,0.16309993817493906,0.025547813037335557,-0.06973245690806656,-2.729488305169589,1.0,200,0.0049751243781094535,0,59.79737997055054
dinov1_b,fashionmnist,0.13503588484727033,0.0,0.15717712525159253,0.02646205661287146,-0.022141240404322197,-0.8367165382584977,0.82,164,0.18407960199004972,0,57.4472222328186
