epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,lr_enc,t
1,3450,8455,73.9,0.90234375,0.3577,1e-05,1790088484.1123862
1,3500,8505,74.0,0.91796875,0.3664,1e-05,1790088645.6099179
1,3550,8555,74.1,0.94921875,0.1644,1e-05,1790088808.7124999
1,3600,8605,74.1,0.921875,0.2729,1e-05,1790088978.1996264
1,3650,8655,74.1,0.92578125,0.4269,1e-05,1790089152.2191212
1,3700,8705,74.1,0.96875,0.1646,1e-05,1790089326.6687555
1,3750,8755,74.1,0.9453125,0.1658,1e-05,1790089501.7197213
1,3800,8805,74.0,0.94140625,0.1949,1e-05,1790089676.819241
1,3850,8855,74.0,0.9296875,0.2822,1e-05,1790089854.329364
1,3900,8905,74.0,0.9453125,0.222,1e-05,1790090029.35644
1,3950,8955,74.0,0.90234375,0.3471,1e-05,1790090203.957111
1,4000,9005,74.0,0.953125,0.1801,1e-05,1790090381.623469
1,4050,9055,74.0,0.921875,0.5483,1e-05,1790090554.1902003
1,4100,9105,74.0,0.94921875,0.1786,1e-05,1790090724.3073103
1,4150,9155,74.0,0.9765625,0.0718,1e-05,1790090893.8575244
1,4200,9205,74.0,0.92578125,0.382,1e-05,1790091064.3927884
1,4250,9255,74.0,0.9453125,0.2363,1e-05,1790091235.2251208
1,4300,9305,74.1,0.93359375,0.2358,1e-05,1790091403.9939623
1,4350,9355,74.1,0.96875,0.1158,1e-05,1790091571.2176425
1,4400,9405,74.1,0.91015625,0.4174,1e-05,1790091741.2720115
1,4450,9455,74.1,0.95703125,0.1541,1e-05,1790091908.5106695
1,4500,9505,74.1,0.96484375,0.2296,1e-05,1790092077.6149025
1,4550,9555,74.1,0.94921875,0.2455,1e-05,1790092249.3804915
1,4600,9605,74.2,0.94921875,0.1272,1e-05,1790092419.628163
1,4650,9655,74.2,0.9375,0.2165,1e-05,1790092589.3800354
1,4700,9705,74.2,0.94921875,0.1425,1e-05,1790092757.765776
1,4750,9755,74.2,0.98828125,0.0355,1e-05,1790092926.2177033
1,4800,9805,74.3,0.96484375,0.1638,1e-05,1790093083.7985556
1,4850,9855,74.3,0.92578125,0.3125,1e-05,1790093245.3952863
1,4900,9905,74.4,0.98046875,0.125,1e-05,1790093404.3117228
1,4950,9955,74.6,0.9921875,0.0337,1e-05,1790093522.1009781
1,5000,10005,75.0,0.98828125,0.0304,1e-05,1790093608.6372564
1,5003,10008,75.0,0.98828125,0.0322,1e-05,1790093613.1031916
2,0,10009,61.6,0.453125,2.9479,1e-05,1790093632.8007731
2,50,10059,65.4,0.921875,0.3,1e-05,1790093828.1719117
2,100,10109,72.8,0.94140625,0.1871,1e-05,1790093984.0145497
2,150,10159,75.7,0.96875,0.0934,1e-05,1790094139.4035764
2,200,10209,77.3,0.984375,0.0637,1e-05,1790094294.3554888
2,250,10259,78.9,0.91796875,0.337,1e-05,1790094442.643648
2,300,10309,80.4,0.97265625,0.1153,1e-05,1790094587.623972
2,350,10359,81.7,0.98828125,0.0723,1e-05,1790094728.2223287
2,400,10409,83.1,0.9296875,0.3352,1e-05,1790094863.475083
2,450,10459,84.0,0.9375,0.1978,1e-05,1790095002.396305
2,500,10509,84.4,0.95703125,0.1498,1e-05,1790095148.1192036
2,550,10559,84.8,0.98828125,0.0508,1e-05,1790095291.9876542
2,600,10609,84.9,0.953125,0.1752,1e-05,1790095441.3364234
2,650,10659,84.8,0.921875,0.3715,1e-05,1790095594.8701484
