level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier3,12,0.6,iso,1000,2,-0.07297534991670211,-0.054764451321477066,-0.018210898595225046,-0.9462454968344244,33.55692434310913
hier3,12,0.6,iso,1000,3,-0.06929425546630119,-0.05681677252695772,-0.012477482939343476,-0.6330519856045146,35.312928676605225
hier3,12,0.6,iso,1000,4,-0.06600838855048204,-0.054561288290306285,-0.01144710026017575,-0.6120841164220728,34.617292165756226
hier3,12,0.6,aniso,100,0,-0.028131850299797742,-0.06358318382812644,0.0354513335283287,1.8976010571301127,18.82603359222412
hier3,12,0.6,aniso,100,1,-0.037600528242505066,-0.07001470416803546,0.032414175925530385,1.7043695777949188,18.11867427825928
hier3,12,0.6,aniso,100,2,-0.012312568029603066,-0.06502202389852588,0.05270945586892281,3.2790851154701093,15.447668313980104
hier3,12,0.6,aniso,100,3,-0.00043793000845293584,-0.06285703420672996,0.06241910419827702,4.852772074907357,12.00596833229065
hier3,12,0.6,aniso,100,4,-0.02016222994767756,-0.06515356141040105,0.04499133146272348,2.6387603423334904,12.288631916046144
hier3,12,0.6,aniso,1000,0,-0.017406524612180826,-0.05545173154679386,0.03804520693461304,2.7954162143009382,30.68583655357361
hier3,12,0.6,aniso,1000,1,-0.011044284630911422,-0.05743390495109193,0.046389620320180514,2.794845186314644,30.64295959472656
hier3,12,0.6,aniso,1000,2,-0.010724018373180209,-0.05590102604139243,0.04517700766821222,2.6097400665147097,27.501900911331177
hier3,12,0.6,aniso,1000,3,-0.008978378676222573,-0.05729973352239489,0.04832135484617232,3.7357464080861904,27.448887586593628
hier3,12,0.6,aniso,1000,4,-0.003435840604526313,-0.05446133902584693,0.05102549842132062,3.5536355811023985,27.975074291229248
star,20,0.1,iso,100,0,-0.101376946032744,-0.09815938347194032,-0.0032175625608036745,-0.1517412887727595,7.842415332794189
star,20,0.1,iso,100,1,-0.10553275710593718,-0.09757064899664218,-0.007962108109294999,-0.3702005260856592,9.22082233428955
star,20,0.1,iso,100,2,-0.09175035039183896,-0.09962140770455513,0.00787105731271616,0.3658149809299577,9.378699064254759
star,20,0.1,iso,100,3,-0.09111268537945877,-0.0980142681010166,0.0069015827215578454,0.31621087304736284,10.060200214385986
star,20,0.1,iso,100,4,-0.09645917864324187,-0.09981575090750212,0.003356572264260255,0.15853244099535008,9.82794427871704
star,20,0.1,iso,1000,0,-0.10128497784418918,-0.09811405090468972,-0.003170926939499455,-0.149598011123923,32.7801570892334
star,20,0.1,iso,1000,1,-0.10429910568189872,-0.0980382147389216,-0.006260890942977118,-0.3016108970788869,32.317471265792854
star,20,0.1,iso,1000,2,-0.09083289986744306,-0.09851193318877252,0.007679033321329452,0.3672846181082734,27.029175519943237
star,20,0.1,iso,1000,3,-0.09154424227052936,-0.0981652531110092,0.006621010840479849,0.3177365583471519,22.150519609451294
star,20,0.1,iso,1000,4,-0.0964607288616156,-0.0983394874378486,0.001878758576232986,0.09008187550897943,30.394198894500732
star,20,0.1,aniso,100,0,-0.10120273860114316,-0.098543270165894,-0.0026594684352491678,-0.1289515219575834,12.292096614837645
