model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s,genuine,p_bh,genuine_bh,record_excess,record_genuine_bh,verdict_changed
dinov2_l,fashionmnist,haar_centered,p999,10,1024,0.10601734515806413,0.0,0.13016248368978076,0.017977460522765595,-0.024145138531716626,-1.3430783786809404,186,0.07462686567164177,155.98742508888245,False,0.10965580261955525,False,-0.035147870622269095,True,True
dinov2_g,fashionmnist,haar_centered,p999,10,1536,0.10173915569675243,1.3877787807814454e-17,0.13668844713226588,0.01976637922759329,-0.03494929143551344,-1.7681180267312306,197,0.01990049751243781,157.46030664443967,True,0.034947215143793224,True,-0.04550445626110676,True,False
clip_b,fashionmnist,haar_centered,p999,10,512,0.13816459551684931,0.0,0.17061869660288992,0.023967831751377986,-0.032454101086040604,-1.3540691299359908,185,0.07960199004975124,155.4174852371216,False,0.11462686567164178,False,-0.03497281689731346,False,False
clip_l,fashionmnist,haar_centered,p999,10,768,0.11607822501778645,1.3877787807814454e-17,0.14900981855558584,0.022253238660109868,-0.032931593537799383,-1.4798562151239154,186,0.07462686567164177,159.74100303649902,False,0.10965580261955525,False,-0.03676580083608731,False,False
siglip_b,fashionmnist,haar_centered,p999,10,768,0.11203997664263372,0.0,0.14544518371192447,0.019056030856694054,-0.033405207069290746,-1.7529992116672122,195,0.02985074626865672,158.76452231407166,True,0.048846675712347354,True,-0.04197996541770253,True,False
i21k_t,mnist,haar_centered,p999,10,192,0.13427752465995454,0.0,0.15622109304041387,0.02316172433308541,-0.0219435683804593,-0.9474065084659504,168,0.16417910447761194,189.15592741966248,False,0.2003541613964078,False,-0.02574537207625524,False,False
i21k_s,mnist,haar_centered,p999,10,384,0.12767443878048385,0.0,0.16121446136891074,0.02502248269682283,-0.033540022588426886,-1.3403954753332912,183,0.08955223880597014,160.34413957595825,False,0.12165587158546888,False,-0.036717060502649945,False,False
i21k_b,mnist,haar_centered,p999,10,768,0.13347234307490144,0.0,0.14021207848236655,0.020304240799151867,-0.006739735407465114,-0.33193732649913416,122,0.3930348258706468,154.41068816184998,False,0.4353616532721011,False,-0.013015005404434205,False,False
i21k_l,mnist,haar_centered,p999,10,1024,0.12442113794682512,0.0,0.1556775654227383,0.02161527024303591,-0.03125642747591319,-1.4460345452300556,187,0.06965174129353234,152.53306603431705,False,0.10670053985392189,False,-0.039598534694540624,False,False
dinov1_b,mnist,haar_centered,p999,10,768,0.10843945881596892,0.0,0.13804956989073405,0.021559381038228125,-0.029610111074765105,-1.3734212045448702,182,0.0945273631840796,155.04227018356326,False,0.12603648424543948,False,-0.03350693532446826,False,False
dinov2_s,mnist,haar_centered,p999,10,384,0.14935831439413907,0.0,0.1462296263227053,0.020338101253054124,0.003128688071433766,0.15383383298693815,79,0.6069651741293532,154.50591588020325,False,0.6243070362473347,False,-0.004234287702697293,False,False
dinov2_b,mnist,haar_centered,p999,10,768,0.14131261088643954,0.0,0.1537257718654658,0.02429187353010868,-0.012413160979026228,-0.5110005600696329,142,0.2935323383084577,158.66777968406674,False,0.3354655294953802,False,-0.017282817369565745,False,False
dinov2_l,mnist,haar_centered,p999,10,1024,0.15036074346998407,0.0,0.1593573447831141,0.023948935682207483,-0.008996601313130044,-0.3756576673181322,135,0.3283582089552239,162.8615620136261,False,0.3694029850746269,False,-0.013794936242902343,False,False
