level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier2,6,0.6,iso,1000,0,-0.12880300723541324,-0.037043982041983385,-0.09175902519342985,-12.66976624374036,52.25971579551697
hier2,6,0.6,iso,1000,1,-0.1377524298626209,-0.03672948566861291,-0.101022944194008,-14.89761444153406,52.3654510974884
hier2,6,0.6,iso,1000,2,-0.13440284519978937,-0.036766877431410584,-0.0976359677683788,-13.459120435953086,51.925461769104004
hier2,6,0.6,iso,1000,3,-0.135165617053951,-0.03771145837136112,-0.09745415868258989,-16.086438839495607,58.06706976890564
hier2,6,0.6,iso,1000,4,-0.130974104944585,-0.03812737070898886,-0.09284673423559614,-14.560180555663178,63.982619762420654
hier2,6,0.6,aniso,100,0,-0.04722439981077867,-0.0030867931248509907,-0.04413760668592768,-3.849044495056422,20.83928108215332
hier2,6,0.6,aniso,100,1,-0.06602518087226175,-0.008612721817149857,-0.05741245905511189,-5.303412267435351,20.790457248687744
hier2,6,0.6,aniso,100,2,-0.046481299302810364,-0.004653171026826629,-0.041828128275983735,-3.5126474751473387,20.81271767616272
hier2,6,0.6,aniso,100,3,-0.06769920036236732,-0.009485854022241638,-0.05821334634012568,-7.597937239900765,20.932180881500244
hier2,6,0.6,aniso,100,4,-0.055541500314884945,-0.012703599633777943,-0.042837900681107,-4.032466132298823,20.78679084777832
hier2,6,0.6,aniso,1000,0,-0.05836772344123983,-0.0004339169371837398,-0.05793380650405609,-5.311158075996365,54.926756143569946
hier2,6,0.6,aniso,1000,1,-0.06432875099246615,-0.000698486941532217,-0.06363026405093394,-5.139005693276324,54.92554974555969
hier2,6,0.6,aniso,1000,2,-0.055336892296906526,-0.0013799549995504854,-0.05395693729735604,-5.154133667050215,55.499656438827515
hier2,6,0.6,aniso,1000,3,-0.059341309350791516,-0.0004560196314869411,-0.058885289719304575,-5.522656687732995,59.44895672798157
hier2,6,0.6,aniso,1000,4,-0.05989283042393935,-0.0016881452707309453,-0.0582046851532084,-5.03447107054176,79.36435842514038
