model,dataset,b,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,n_rep,time_s
i21k_b,imagenet,2,1000,0.05386366429172272,0.00020140288768406216,0.06969134754127106,0.0027152535068044967,-0.01582768324954834,50,0.0196078431372549,50,158.53693222999573
i21k_b,imagenet,3,1000,0.05453911483457483,0.00023391267278353336,0.06982408839982457,0.002721147171668669,-0.01528497356524975,50,0.0196078431372549,50,155.9697394371033
i21k_b,imagenet,4,1000,0.054773308753762205,0.00021969114331409355,0.06986222193627123,0.002729197570595257,-0.015088913182509024,50,0.0196078431372549,50,146.30769395828247
i21k_b,imagenet,5,1000,0.053908014154263835,0.0001726628476759634,0.06973534119714424,0.002710799477673186,-0.015827327042880396,50,0.0196078431372549,50,130.7110435962677
i21k_b,imagenet,6,1000,0.05423244716444578,0.00023452380871506162,0.06966524856620236,0.0027091782971473987,-0.015432801401756575,50,0.0196078431372549,50,143.9883413314819
i21k_b,imagenet,7,1000,0.05323030714008605,0.00018818384331033522,0.0696814216490431,0.002711146069062189,-0.01645111450895706,50,0.0196078431372549,50,147.04367041587832
i21k_b,imagenet,8,1000,0.05410606743147986,0.0001916812735419452,0.06980083777182522,0.002720534515957466,-0.015694770340345353,50,0.0196078431372549,50,145.24854040145877
i21k_b,imagenet,9,1000,0.05406287064469417,0.0001891665501799839,0.06968191401865824,0.0027231881966330623,-0.015619043373964069,50,0.0196078431372549,50,143.4471719264984
i21k_b,imagenet,10,1000,0.053922077370548514,0.00019616034415779267,0.06978001363634552,0.002716004310857692,-0.01585793626579702,50,0.0196078431372549,50,145.64627957344058
i21k_b,imagenet,11,1000,0.05440356528581965,0.0002331549756351657,0.0698237484515977,0.002713447725109242,-0.015420183165778041,50,0.0196078431372549,50,145.03387594223022
i21k_b,imagenet,12,1000,0.05441081119221729,0.00019398177472352424,0.06974761444302649,0.0027157387347509928,-0.015336803250809203,50,0.0196078431372549,50,146.7401120662689
i21k_b,imagenet,13,1000,0.053000488670784704,0.00017128287744713202,0.06971132422455974,0.002717188116310655,-0.01671083555377503,50,0.0196078431372549,50,146.03337621688846
i21k_b,imagenet,14,1000,0.05467606370841208,0.0002463909416713997,0.06971475635819438,0.0027244169979598718,-0.015038692649782297,50,0.0196078431372549,50,147.40870642662045
i21k_b,imagenet,15,1000,0.0525192825169154,0.00016298886094705652,0.06986675711011775,0.0027213322947384194,-0.01734747459320235,50,0.0196078431372549,50,146.87500047683716
i21k_b,imagenet,16,1000,0.05411391697420757,0.00021876891722393148,0.0697648831463605,0.002709765946864818,-0.01565096617215294,50,0.0196078431372549,50,150.91143584251404
i21k_b,imagenet,17,1000,0.053480372195075655,0.00019240344542370148,0.06971910001251036,0.002709374305449412,-0.016238727817434705,50,0.0196078431372549,50,141.06559062004092
i21k_b,imagenet,18,1000,0.054486705657281816,0.00020788797077018692,0.06968135809157812,0.002710392776614398,-0.015194652434296326,50,0.0196078431372549,50,136.8749177455902
i21k_b,imagenet,19,1000,0.05469664389201525,0.00021524302834140501,0.06980129863661036,0.002715853311045977,-0.01510465474459511,50,0.0196078431372549,50,142.80234384536743
i21k_b,imagenet,20,1000,0.05464062521082454,0.00019667034106044868,0.06971159139729126,0.002714092996311329,-0.015070966186466722,50,0.0196078431372549,50,150.06097722053528
i21k_b,imagenet,21,1000,0.0544254432042576,0.00017271295216896978,0.06976684945343327,0.0027145490611320358,-0.015341406249175675,50,0.0196078431372549,50,142.0264849662781
i21k_b,imagenet,22,1000,0.05381623485637689,0.00026002228191914807,0.06968172960882428,0.002716743738524389,-0.01586549475244739,50,0.0196078431372549,50,133.86414837837222
i21k_b,imagenet,23,1000,0.054354103884394885,0.0002755664981084669,0.06979765258890805,0.0027181426130886872,-0.015443548704513171,50,0.0196078431372549,50,147.97464084625244
i21k_b,imagenet,24,1000,0.05255134778856886,0.00018338833655082894,0.06970304954008281,0.0027205578695863393,-0.017151701751513954,50,0.0196078431372549,50,138.07972431182858
i21k_b,imagenet,25,1000,0.05442838529831898,0.0001967190748293245,0.0697455796942462,0.002722909845599265,-0.015317194395927219,50,0.0196078431372549,50,140.3454620838165
i21k_b,imagenet,26,1000,0.05379038874225242,0.00020090306826664982,0.0696419645228286,0.00271435192542444,-0.015851575780576187,50,0.0196078431372549,50,147.79997873306274
i21k_b,imagenet,27,1000,0.05355887484990294,0.00017905589271261765,0.06972250678391091,0.002713539198572157,-0.016163631934007973,50,0.0196078431372549,50,141.8690462112427
i21k_b,imagenet,28,1000,0.053433335678273394,0.00024399496758855716,0.06975704253951111,0.0027167236649432787,-0.016323706861237713,50,0.0196078431372549,50,150.4886386394501
