model,paradigm,dataset,n_classes,d_eucl,null_eucl,exc_eucl,d_cos,null_cos,exc_cos
dinov2_g,SSL,fashionmnist,10,0.10173915569675246,0.1760629883149356,-0.07432383261818315,0.10646418926779841,0.20395697488174294,-0.09749278561394453
clip_b,Contrastive,fashionmnist,10,0.13816459551684931,0.18928470137477982,-0.0511201058579305,0.1355965907013657,0.194906885442562,-0.059310294741196284
clip_l,Contrastive,fashionmnist,10,0.11607822501778645,0.18729833054419653,-0.07122010552641009,0.11641435173506053,0.1897958693893099,-0.07338151765424937
siglip_b,Contrastive,fashionmnist,10,0.11203997664263372,0.17722122232797988,-0.06518124568534615,0.10526332752859612,0.1820226964867124,-0.07675936895811629
i21k_t,Supervised,mnist,10,0.13427752465995457,0.19025588811663682,-0.05597836345668225,0.1358579418155996,0.19810146762840172,-0.062243525812802125
i21k_s,Supervised,mnist,10,0.12767443878048385,0.18924955936893506,-0.061575120588451215,0.13216851803271712,0.19337795305314973,-0.06120943502043261
i21k_b,Supervised,mnist,10,0.13347234307490144,0.1778622297048501,-0.044389886629948666,0.1356036882021352,0.18235153306614993,-0.04674784486401473
i21k_l,Supervised,mnist,10,0.12442113794682512,0.1841592684904887,-0.05973813054366357,0.12345968219528111,0.19221214841940193,-0.06875246622412082
dinov1_b,SSL,mnist,10,0.10843945881596892,0.17703430275401377,-0.06859484393804485,0.107638028293333,0.18182579757862896,-0.07418776928529597
dinov2_s,SSL,mnist,10,0.14935831439413907,0.18209552395779807,-0.032737209563659,0.1531267372870791,0.1874258508785427,-0.03429911359146359
dinov2_b,SSL,mnist,10,0.14131261088643957,0.18928211891699462,-0.04796950803055505,0.14135137239527687,0.19141316198436908,-0.050061789589092215
dinov2_l,SSL,mnist,10,0.15036074346998407,0.19070127061281447,-0.0403405271428304,0.14756809181751332,0.19496375411466926,-0.047395662297155944
dinov2_g,SSL,mnist,10,0.14727395298119914,0.19306378127228893,-0.045789828291089796,0.1472111154822857,0.1985779787314247,-0.051366863249139
clip_b,Contrastive,mnist,10,0.13803716575248368,0.17441216336519974,-0.036374997612716065,0.13953425615980594,0.1733929684482538,-0.03385871228844786
clip_l,Contrastive,mnist,10,0.16480574915157226,0.19203306918345206,-0.027227320031879804,0.16506842838261274,0.19219576818534598,-0.02712733980273324
siglip_b,Contrastive,mnist,10,0.11328859388614661,0.18047371891979483,-0.06718512503364822,0.1156938172026991,0.18282472936284974,-0.06713091216015064
