model_a,model_b,knn_R_raw,knn_R_null_mean,knn_R_null_sd,knn_R_tau95,knn_R_p,knn_R_cal,knn_R_nullcentered,knn_H_raw,knn_H_null_mean,knn_H_null_sd,knn_H_tau95,knn_H_p,knn_H_cal,knn_H_nullcentered,cka_R_raw,cka_R_null_mean,cka_R_null_sd,cka_R_tau95,cka_R_p,cka_R_cal,cka_R_nullcentered,cka_H_raw,cka_H_null_mean,cka_H_null_sd,cka_H_tau95,cka_H_p,cka_H_cal,cka_H_nullcentered,time_s
i21k_s,siglip_b,0.6651,0.009924500000000001,0.0011729144862093737,0.011899999999999999,0.004975124378109453,0.6610666936544884,0.6551755,0.6011,0.009832,0.0012620379148395116,0.011899999999999999,0.004975124378109453,0.5962959214654386,0.591268,0.8286459198218974,0.04317305953049924,0.0014476676888644233,0.04591956996832383,0.004975124378109453,0.8203987056181274,0.7854728602913982,0.8357336058238175,0.04297221316974153,0.0014407504854363372,0.0455930257573527,0.004975124378109453,0.827886427269108,0.792761392654076,13.5361328125
i21k_b,i21k_l,0.766,0.009986,0.0011664075328388945,0.011899999999999999,0.004975124378109453,0.7631818641837871,0.756014,0.7253000000000001,0.009911999999999999,0.0015182494548114207,0.0126,0.004975124378109453,0.7217946121126191,0.715388,0.8889571461107308,0.069690886012185,0.0014338893270455385,0.0723980291588116,0.004975124378109453,0.8802904075456299,0.8192662600985459,0.8913558960367084,0.06945972033717288,0.0014337285508267943,0.07215807527154564,0.004975124378109453,0.8829066664614366,0.8218961756995355,22.192601919174194
i21k_b,dinov1_b,0.5953,0.009960000000000002,0.0012653479867760454,0.012,0.004975124378109453,0.5903846153846154,0.5853400000000001,0.5025000000000001,0.0100075,0.002193822700265681,0.014199999999999999,0.004975124378109453,0.4953337390951512,0.49249250000000006,0.7474485039346395,0.08308089539684133,0.001339999616724385,0.08517352440263606,0.004975124378109453,0.7239350818957778,0.6643676085377981,0.7544788154705042,0.08231612810537683,0.0013252691849545582,0.08441648567805753,0.004975124378109453,0.7318418465503691,0.6721626873651274,21.28029751777649
i21k_b,dinov2_s,0.49820000000000003,0.009977499999999999,0.0014699823094002692,0.0126,0.004975124378109453,0.4917966376341908,0.48822250000000006,0.3812,0.010045,0.0032822309792281566,0.017499999999999998,0.004975124378109453,0.370178117048346,0.37115499999999996,0.47360323850083014,0.10769099198329453,0.001324999005735072,0.10993984259017887,0.004975124378109453,0.4085829400216657,0.3659122465175356,0.48338806890764696,0.10787807159996766,0.001296269946853612,0.11004148459784785,0.004975124378109453,0.419510098334294,0.3755099973076793,15.227252006530762
i21k_b,dinov2_b,0.2985,0.009991,0.002435709837410914,0.014099999999999998,0.004975124378109453,0.28846739020184603,0.288509,0.21480000000000002,0.009942000000000001,0.004315385121135609,0.019200000000000002,0.004975124378109453,0.19942903752039154,0.204858,0.46223266153137244,0.14980508106994128,0.0012125251467193507,0.152005238374421,0.004975124378109453,0.36583648531301693,0.31242758046143115,0.47364345888192766,0.14964270965847462,0.0011793071607451458,0.15175075397288967,0.004975124378109453,0.379478916623464,0.324000749223453,18.506171941757202
i21k_b,dinov2_l,0.22000000000000003,0.010013500000000002,0.0026327790216583735,0.0147,0.004975124378109453,0.20836293514665588,0.20998650000000002,0.1666,0.0100265,0.004565376332272771,0.0196,0.004975124378109453,0.14993880048959607,0.1565735,0.4784955975706117,0.16828715363683253,0.0010455024885070241,0.17012339458405007,0.004975124378109453,0.3715880179945543,0.3102084439337792,0.49307606081534355,0.16844649300205788,0.0010005096040184014,0.17010570625644306,0.004975124378109453,0.38917047266588456,0.32462956781328567,20.807652711868286
i21k_b,dinov2_g,0.22280000000000003,0.009943,0.0027290086922197696,0.0155,0.004975124378109453,0.21056373793803965,0.21285700000000002,0.1789,0.0099455,0.004827733922257999,0.020499999999999997,0.004975124378109453,0.16171516079632467,0.1689545,0.47252476349286865,0.17543528752271853,0.0011383541268648431,0.17732003552381267,0.004975124378109453,0.35883301006001433,0.2970894759701501,0.4868266381327857,0.17606644574717575,0.0010723220367036882,0.17801772894798307,0.004975124378109453,0.37568804104445275,0.3107601923856099,30.06269669532776
i21k_b,clip_b,0.5858,0.009961,0.001152309893410736,0.012,0.004975124378109453,0.5807692307692307,0.575839,0.5284,0.0098935,0.0013478468778129623,0.012199999999999999,0.004975124378109453,0.5225754201255315,0.5185065,0.82924171703377,0.03884610853115507,0.0014403967647815446,0.04157283477185816,0.004975124378109453,0.821834888282217,0.7903956085026149,0.8323418939065454,0.03847118503609908,0.001431279718198225,0.04111343326783327,0.004975124378109453,0.8251533477366105,0.7938707088704464,14.101891994476318
i21k_b,clip_l,0.6288,0.010013,0.0011769695350484484,0.012,0.004975124378109453,0.6242914979757085,0.618787,0.5724,0.0099125,0.0013611234459724362,0.0123,0.004975124378109453,0.5670750227801964,0.5624875,0.8293353262802966,0.04808292250657065,0.001412079179911923,0.05066110017522564,0.004975124378109453,0.8202278725213893,0.781252403773726,0.8353073126343847,0.047908321677568116,0.0014048433399944866,0.05046384657357481,0.004975124378109453,0.8265545900792534,0.7873989909568166,18.568314790725708
i21k_b,siglip_b,0.6375,0.010000499999999999,0.001150070895782792,0.012,0.004975124378109453,0.6330971659919028,0.6274995,0.5786,0.009855500000000001,0.001244432727820332,0.011899999999999999,0.004975124378109453,0.5735249468677259,0.5687445,0.820729690985892,0.04675481340033844,0.0014338714795559349,0.04924767591032661,0.004975124378109453,0.8114437330608097,0.7739748775855535,0.8278736962941726,0.0465810704340929,0.0014271216259946198,0.049087593364527095,0.004975124378109453,0.8189882658962814,0.7812926258600797,16.8304545879364
