epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,loss_k30,loss_k6,loss_k2,lr_enc,t
1,3650,8655,74.1,0.91015625,0.4715,0.0348,0.0294,0.0224,1e-05,1790089152.2480505
1,3700,8705,74.1,0.96875,0.127,0.1007,0.0066,0.0017,1e-05,1790089326.6674166
1,3750,8755,74.1,0.9140625,0.2223,0.0489,0.0277,0.0066,1e-05,1790089501.719482
1,3800,8805,74.0,0.93359375,0.1974,0.0653,0.0431,0.0008,1e-05,1790089676.8423147
1,3850,8855,74.0,0.94140625,0.3128,0.0788,0.0196,0.0558,1e-05,1790089854.320829
1,3900,8905,74.0,0.9296875,0.2737,0.0493,0.0047,0.0014,1e-05,1790090029.3567164
1,3950,8955,74.0,0.90234375,0.4258,0.0841,0.0013,0.0009,1e-05,1790090203.9689145
1,4000,9005,74.0,0.9453125,0.1975,0.0894,0.0005,0.0005,1e-05,1790090381.6314383
1,4050,9055,74.0,0.90234375,0.621,0.1084,0.0334,0.003,1e-05,1790090554.1811314
1,4100,9105,74.0,0.921875,0.319,0.0452,0.001,0.0002,1e-05,1790090724.326957
1,4150,9155,74.0,0.96484375,0.0873,0.0097,0.0015,0.0013,1e-05,1790090893.874377
1,4200,9205,74.0,0.921875,0.4432,0.1787,0.0012,0.0003,1e-05,1790091064.4041388
1,4250,9255,74.0,0.9296875,0.2478,0.0574,0.0042,0.0006,1e-05,1790091235.2107985
1,4300,9305,74.1,0.94140625,0.2032,0.048,0.0196,0.0217,1e-05,1790091404.0271082
1,4350,9355,74.1,0.96875,0.1423,0.005,0.0088,0.0001,1e-05,1790091571.2194285
1,4400,9405,74.1,0.90625,0.4777,0.289,0.3954,0.0003,1e-05,1790091741.2734632
1,4450,9455,74.1,0.921875,0.2574,0.0688,0.059,0.0283,1e-05,1790091908.533566
1,4500,9505,74.1,0.94140625,0.3202,0.0734,0.0173,0.0031,1e-05,1790092077.617101
1,4550,9555,74.1,0.9375,0.3013,0.0599,0.0162,0.0008,1e-05,1790092249.3754978
1,4600,9605,74.2,0.9375,0.1911,0.1204,0.098,0.1357,1e-05,1790092419.6407824
1,4650,9655,74.2,0.93359375,0.2607,0.1159,0.0538,0.0497,1e-05,1790092589.376783
1,4700,9705,74.2,0.93359375,0.2499,0.0171,0.0011,0.0015,1e-05,1790092757.7996624
1,4750,9755,74.2,0.984375,0.0687,0.0605,0.0069,0.0052,1e-05,1790092926.2143373
1,4800,9805,74.3,0.9453125,0.2362,0.4155,0.4178,0.0254,1e-05,1790093083.816628
1,4850,9855,74.3,0.92578125,0.4223,0.0412,0.0048,0.0153,1e-05,1790093245.4088652
1,4900,9905,74.4,0.98828125,0.1043,0.0175,0.0037,0.0001,1e-05,1790093404.2817965
1,4950,9955,74.6,0.98828125,0.0352,0.0056,0.0014,0.0,1e-05,1790093522.11684
1,5000,10005,75.0,0.98046875,0.059,0.0583,0.0003,0.0,1e-05,1790093608.6418762
1,5003,10008,75.0,0.98046875,0.0586,0.0021,0.0001,0.0,1e-05,1790093613.1011665
2,0,10009,68.2,0.4140625,3.3011,0.8777,0.2353,0.2006,1e-05,1790093632.796431
2,50,10059,65.6,0.9140625,0.2786,0.0388,0.0009,0.0008,1e-05,1790093828.1907604
2,100,10109,72.8,0.94921875,0.1918,0.0253,0.0008,0.0012,1e-05,1790093984.0314133
2,150,10159,75.7,0.953125,0.152,0.0156,0.0094,0.0059,1e-05,1790094139.4267182
2,200,10209,77.3,0.98046875,0.0666,0.0352,0.0002,0.0002,1e-05,1790094294.3797348
2,250,10259,79.0,0.90234375,0.4587,0.0331,0.0004,0.0005,1e-05,1790094442.6443577
2,300,10309,80.4,0.9609375,0.1656,0.0417,0.0003,0.0004,1e-05,1790094587.6456177
2,350,10359,81.7,0.96484375,0.1199,0.0796,0.0002,0.0003,1e-05,1790094728.2350569
2,400,10409,83.2,0.93359375,0.3819,0.0478,0.0044,0.003,1e-05,1790094863.492615
2,450,10459,84.1,0.90234375,0.3199,0.1615,0.0703,0.0154,1e-05,1790095002.389102
2,500,10509,84.4,0.96484375,0.1336,0.0824,0.0266,0.002,1e-05,1790095148.127528
2,550,10559,84.8,0.96875,0.1017,0.0609,0.0341,0.0027,1e-05,1790095291.9973874
2,600,10609,84.9,0.94921875,0.2243,0.0299,0.0001,0.0001,1e-05,1790095441.347301
2,650,10659,84.8,0.91796875,0.3811,0.2191,0.0173,0.0131,1e-05,1790095594.8762326
2,700,10709,84.4,0.97265625,0.1332,0.0642,0.0103,0.0207,1e-05,1790095756.2972553
2,750,10759,84.2,0.984375,0.0735,0.05,0.0025,0.0025,1e-05,1790095911.864577
2,800,10809,84.0,0.94140625,0.246,0.1035,0.0168,0.0012,1e-05,1790096069.1241267
2,850,10859,83.7,0.953125,0.1789,0.0108,0.0001,0.0001,1e-05,1790096232.1857786
2,900,10909,83.3,0.99609375,0.0317,0.0631,0.0491,0.0358,1e-05,1790096397.594456
2,950,10959,82.9,0.98828125,0.0491,0.0219,0.0038,0.0009,1e-05,1790096564.107446
2,1000,11009,82.6,0.953125,0.2261,0.043,0.0251,0.0034,1e-05,1790096730.2266126
2,1050,11059,82.4,0.94921875,0.2514,0.0877,0.0351,0.0056,1e-05,1790096894.6994472
2,1100,11109,82.1,0.98046875,0.0926,0.0309,0.0003,0.0001,1e-05,1790097060.081838
2,1150,11159,82.0,0.98046875,0.071,0.0839,0.0412,0.029,1e-05,1790097221.8809557
2,1200,11209,82.0,0.9765625,0.0589,0.0064,0.0003,0.0004,1e-05,1790097380.604813
2,1250,11259,82.0,0.98046875,0.1264,0.0314,0.0009,0.0007,1e-05,1790097534.7938187
2,1300,11309,81.9,0.96484375,0.1486,0.0662,0.0066,0.0032,1e-05,1790097696.439048
2,1350,11359,81.7,0.953125,0.1668,0.0665,0.0397,0.0226,1e-05,1790097859.7464643
2,1400,11409,81.7,0.95703125,0.2138,0.0287,0.0003,0.0002,1e-05,1790098020.6774702
2,1450,11459,81.6,0.91015625,0.3284,0.1619,0.0002,0.0001,1e-05,1790098182.6654785
2,1500,11509,81.5,0.921875,0.2843,0.0723,0.023,0.0163,1e-05,1790098346.344448
2,1550,11559,81.3,0.9453125,0.201,0.1405,0.1017,0.0981,1e-05,1790098512.6117587
2,1600,11609,81.2,0.9375,0.3162,0.0187,0.0066,0.0029,1e-05,1790098677.4266436
2,1650,11659,81.1,0.984375,0.0834,0.0312,0.0257,0.0089,1e-05,1790098840.0717165
2,1700,11709,81.0,0.953125,0.0821,0.0159,0.0056,0.0081,1e-05,1790099002.8358498
2,1750,11759,81.0,0.95703125,0.1286,0.0048,0.0013,0.0005,1e-05,1790099166.1169186
2,1800,11809,80.9,0.9140625,0.2483,0.2786,0.0003,0.0004,1e-05,1790099330.5314634
2,1850,11859,80.8,0.984375,0.0858,0.0268,0.0048,0.0028,1e-05,1790099493.2936115
2,1900,11909,80.8,0.984375,0.0516,0.0204,0.0002,0.0001,1e-05,1790099653.2060382
2,1950,11959,80.8,0.95703125,0.2082,0.0246,0.0207,0.0282,1e-05,1790099813.226298
2,2000,12009,80.8,0.93359375,0.4023,0.0179,0.0001,0.0001,1e-05,1790099970.1022005
2,2050,12059,80.8,0.9453125,0.1819,0.0374,0.0004,0.0002,1e-05,1790100128.8723326
2,2100,12109,80.8,0.97265625,0.1403,0.045,0.0088,0.0096,1e-05,1790100286.9485245
2,2150,12159,80.7,0.96484375,0.1399,0.0068,0.011,0.0065,1e-05,1790100449.6039517
2,2200,12209,80.7,0.953125,0.1643,0.0291,0.0002,0.0001,1e-05,1790100614.7868083
2,2250,12259,80.6,0.96875,0.1042,0.0234,0.0007,0.001,1e-05,1790100778.5598247
2,2300,12309,80.6,0.94921875,0.1606,0.0273,0.0003,0.0003,1e-05,1790100936.3033597
2,2350,12359,80.6,0.921875,0.1865,0.081,0.0518,0.0149,1e-05,1790101098.0983863
2,2400,12409,80.5,0.89453125,0.5949,0.2431,0.0058,0.0001,1e-05,1790101265.7790926
2,2450,12459,80.5,0.953125,0.18,0.1441,0.0011,0.0004,1e-05,1790101427.701843
2,2500,12509,80.4,0.953125,0.109,0.0315,0.0006,0.0002,1e-05,1790101591.9712021
2,2550,12559,80.4,0.94921875,0.1519,0.036,0.0005,0.0002,1e-05,1790101753.416061
2,2600,12609,80.4,0.91015625,0.3328,0.0911,0.0403,0.0345,1e-05,1790101915.640075
2,2650,12659,80.3,0.90234375,0.3891,0.0184,0.0065,0.0093,1e-05,1790102076.9418516
2,2700,12709,80.3,0.97265625,0.0619,0.0562,0.0168,0.0013,1e-05,1790102238.299005
2,2750,12759,80.3,0.9609375,0.1749,0.0566,0.0069,0.0014,1e-05,1790102401.9234765
2,2800,12809,80.3,0.89453125,0.3962,0.0867,0.0229,0.0117,1e-05,1790102563.280726
2,2850,12859,80.2,0.9765625,0.0872,0.0568,0.0025,0.0007,1e-05,1790102724.9285753
2,2900,12909,80.2,0.984375,0.0716,0.0537,0.0177,0.0004,1e-05,1790102883.6793456
2,2950,12959,80.3,0.95703125,0.1666,0.0898,0.0002,0.0002,1e-05,1790103040.8041108
2,3000,13009,80.2,0.90234375,0.4839,0.0845,0.0543,0.0784,1e-05,1790103204.5283778
2,3050,13059,80.2,0.98046875,0.058,0.0517,0.015,0.0045,1e-05,1790103370.758272
2,3100,13109,80.1,0.94921875,0.2472,0.0685,0.0051,0.0038,1e-05,1790103535.24112
2,3150,13159,80.1,0.95703125,0.1687,0.0331,0.0011,0.0011,1e-05,1790103695.0576136
2,3200,13209,80.1,0.90625,0.3518,0.0035,0.0006,0.0011,1e-05,1790103855.9402819
2,3250,13259,80.1,0.953125,0.2885,0.0387,0.0014,0.0012,1e-05,1790104016.9641113
