level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier2,6,0.1,iso,1000,0,-0.1112865626140102,-0.10678707398270426,-0.004499488631305934,-0.13628093445302375,41.108689308166504
hier2,6,0.1,iso,1000,1,-0.12201481125920237,-0.10811324708624837,-0.013901564172954003,-0.41346652082012647,39.909220457077026
hier2,6,0.1,iso,1000,2,-0.12025863334213817,-0.10799907641381139,-0.012259556928326781,-0.3768947968594768,40.03306555747986
hier2,6,0.1,iso,1000,3,-0.1093424394231506,-0.10975734883971903,0.0004149094165684375,0.012007273827058414,39.23552346229553
hier2,6,0.1,iso,1000,4,-0.11344094561497459,-0.10617637707621096,-0.00726456853876363,-0.22030531701624465,38.02544546127319
hier2,6,0.1,aniso,100,0,-0.11165756310216857,-0.11837437662777482,0.006716813525606255,0.19649325350617372,16.896095752716064
hier2,6,0.1,aniso,100,1,-0.11926127314745899,-0.11612325742103337,-0.003138015726425622,-0.08328762478019688,17.88155698776245
hier2,6,0.1,aniso,100,2,-0.11816982227615516,-0.11796719386315853,-0.00020262841299663326,-0.005625063682841267,21.69563055038452
hier2,6,0.1,aniso,100,3,-0.11132786312200395,-0.11693431806807604,0.0056064549460720925,0.16477354513566178,18.392765998840332
hier2,6,0.1,aniso,100,4,-0.10446576227633765,-0.1136822582568251,0.009216495980487446,0.26973264664083746,22.06293559074402
hier2,6,0.1,aniso,1000,0,-0.1115924554485331,-0.10677408143164054,-0.004818374016892571,-0.1462258654975256,54.5325493812561
hier2,6,0.1,aniso,1000,1,-0.12061349740331859,-0.10810712155729067,-0.012506375846027915,-0.3657124199907487,54.53341317176819
hier2,6,0.1,aniso,1000,2,-0.11952459363313879,-0.1079818361050624,-0.011542757528076389,-0.3323035101898461,55.95443081855774
hier2,6,0.1,aniso,1000,3,-0.10993903569502944,-0.10973494769777126,-0.00020408799725818438,-0.005904198312762217,60.76916313171387
hier2,6,0.1,aniso,1000,4,-0.11100624600496953,-0.10618055225266347,-0.004825693752306057,-0.14354741991160444,65.12696886062622
hier2,6,0.3,iso,100,0,-0.10244942448794979,-0.10894564543556333,0.00649622094761354,0.20459650902312956,10.372310161590576
hier2,6,0.3,iso,100,1,-0.10689405965130769,-0.10651202724676778,-0.00038203240453990595,-0.011871829892425004,11.704123258590698
hier2,6,0.3,iso,100,2,-0.11079724768306484,-0.10901878646812836,-0.0017784612149364804,-0.054151405364145346,9.557040214538574
hier2,6,0.3,iso,100,3,-0.10166222734581326,-0.10699770349731348,0.005335476151500221,0.17074664670176362,10.929399728775024
hier2,6,0.3,iso,100,4,-0.09937442720817038,-0.10369853032619124,0.004324103118020853,0.13225578887084727,11.012518882751465
hier2,6,0.3,iso,1000,0,-0.10001936994371248,-0.09585667026705989,-0.004162699676652587,-0.14418796631561365,40.268922567367554
