model,C,mode,seed,delta,delta_sd,null_mean,excess,nc_R,nc_H,nc_adv_pp,n_test,time_s
dinov2_g,200,random,0,0.08473767033698389,0.005438169623517935,0.11557092561714477,-0.030833255280160884,0.8745,0.8875,1.29999999999999,10000,4.3719072341918945
dinov2_g,200,random,1,0.060943969965362686,0.004705170318141498,0.11506244835175258,-0.0541184783863899,0.8766,0.8891,1.2499999999999956,10000,3.1285974979400635
dinov2_g,200,random,2,0.08020624650144854,0.007213501505868188,0.11440086996756921,-0.03419462346612066,0.8932,0.9067,1.3499999999999956,10000,3.7193026542663574
dinov2_g,200,random,3,0.08508296106188502,0.0018579498849119688,0.1146811479992691,-0.02959818693738407,0.8899,0.9,1.0099999999999998,10000,3.593987226486206
dinov2_g,200,random,4,0.06750095117120217,0.005492711601186765,0.11439194742441477,-0.04689099625321261,0.9021,0.9168,1.4699999999999935,10000,4.198776960372925
dinov2_g,200,coherent,0,0.07275842234824012,0.0007752945676876748,0.11882079495749329,-0.046062372609253166,0.8095,0.8238,1.429999999999998,10000,3.4885094165802
dinov2_g,200,coherent,1,0.10028829715008651,0.004098617060622737,0.1187206523148941,-0.018432355164807596,0.8527,0.8482,-0.45000000000000595,10000,5.107576131820679
dinov2_g,200,coherent,2,0.09849558094460001,0.0024965103583575784,0.12744381417978004,-0.028948233235180032,0.8157,0.8096,-0.6099999999999994,10000,8.200996160507202
dinov2_g,200,coherent,3,0.0640276714609153,0.005692830354563277,0.11763622998657419,-0.05360855852565889,0.814,0.8289,1.4900000000000024,10000,8.429954767227173
dinov2_g,200,coherent,4,0.11320963790394982,0.0038654516639476852,0.12934281759302135,-0.016133179689071533,0.8022,0.7971,-0.5099999999999993,10000,8.234208583831787
dinov2_g,500,random,0,0.07993115035271037,0.002666106658246215,0.08624303305752212,-0.006311882704811755,0.82704,0.83112,0.40799999999999725,25000,25.180237770080566
dinov2_g,500,random,1,0.08427902738097683,0.005947229966466751,0.08486213948143566,-0.0005831121004588324,0.84156,0.84724,0.5680000000000018,25000,9.477661848068237
dinov2_g,500,coherent,0,0.06835080874623506,0.003430555893123305,0.08819677857459166,-0.019845969828356597,0.7686,0.77356,0.49600000000000755,25000,9.478557109832764
dinov2_g,500,coherent,1,0.08495692671490851,0.008521024840368261,0.09173899457669694,-0.006782067861788435,0.827,0.82648,-0.051999999999996493,25000,10.913495063781738
dinov2_g,1000,random,0,0.0759319273268835,0.003509830103273394,0.0724755428812106,0.003456384445672908,0.7844,0.78306,-0.13400000000000079,50000,16.870750188827515
clip_l,10,random,0,0.0736633556858042,0.0,0.1647419440078749,-0.09107858832207069,0.982,0.982,0.0,500,0.004103899002075195
clip_l,10,random,1,0.0793798095264466,0.0,0.17893998801090855,-0.09956017848446194,0.986,0.988,0.20000000000000018,500,0.003323078155517578
clip_l,10,random,2,0.05629489843914012,0.0,0.16863885940220988,-0.11234396096306976,0.998,0.998,0.0,500,0.003427267074584961
clip_l,10,random,3,0.08838654744439596,0.0,0.15597368393835234,-0.06758713649395638,0.964,0.958,-0.6000000000000005,500,0.003299236297607422
clip_l,10,random,4,0.058204861107833926,0.0,0.15437259892451355,-0.09616773781667962,0.998,0.998,0.0,500,0.0033016204833984375
clip_l,10,coherent,0,0.08343278920857328,0.0,0.18947056255887196,-0.10603777335029868,0.792,0.79,-0.20000000000000018,500,0.004192352294921875
clip_l,10,coherent,1,0.07467563126577806,0.0,0.20509584593919597,-0.1304202146734179,0.842,0.838,-0.40000000000000036,500,0.003927469253540039
clip_l,10,coherent,2,0.13403374410720356,0.0,0.2002209055807257,-0.06618716147352213,0.814,0.802,-1.19999999999999,500,0.003738880157470703
clip_l,10,coherent,3,0.07388007232091631,0.0,0.18441608512413218,-0.11053601280321587,0.962,0.964,0.20000000000000018,500,0.004145383834838867
clip_l,10,coherent,4,0.12706595542743612,0.0,0.20116316942266127,-0.07409721399522515,0.828,0.826,-0.20000000000000018,500,0.003856182098388672
