model,C,mode,seed,delta,delta_sd,null_mean,excess,nc_R,nc_H,nc_adv_pp,n_test,time_s
dinov2_g,10,coherent,3,0.03371436983066967,0.0,0.14669295031829668,-0.11297858048762702,0.968,0.972,0.40000000000000036,500,0.10611486434936523
dinov2_g,10,coherent,4,0.13072970077175255,0.0,0.16369395824355437,-0.03296425747180182,0.828,0.826,-0.20000000000000018,500,0.07366776466369629
dinov2_g,20,random,0,0.09071989813287096,0.0,0.20043391347733014,-0.10971401534445918,0.933,0.95,1.6999999999999904,1000,0.34229159355163574
dinov2_g,20,random,1,0.028841563781477484,0.0,0.1953696605017512,-0.16652809672027372,0.95,0.962,1.200000000000001,1000,0.33556628227233887
dinov2_g,20,random,2,0.02496067735487022,0.0,0.19660741098915552,-0.1716467336342853,0.97,0.978,0.8000000000000007,1000,0.22146964073181152
dinov2_g,20,random,3,0.03730236746716984,0.0,0.19699634184234716,-0.15969397437517732,0.919,0.931,1.200000000000001,1000,0.2445359230041504
dinov2_g,20,random,4,0.02965017880187383,0.0,0.1957216759319685,-0.16607149713009467,0.92,0.936,1.6000000000000014,1000,0.26339054107666016
dinov2_g,20,coherent,0,0.049545168593642705,0.0,0.1919339652732154,-0.14238879667957272,0.869,0.872,0.30000000000000027,1000,0.25537776947021484
dinov2_g,20,coherent,1,0.034143256047308224,0.0,0.19595800990813095,-0.16181475386082272,0.902,0.889,-1.3000000000000012,1000,0.2955493927001953
dinov2_g,20,coherent,2,0.11989617598147435,0.0,0.2006741576961585,-0.08077798171468416,0.833,0.83,-0.30000000000000027,1000,0.26975440979003906
dinov2_g,20,coherent,3,0.03851782882878341,0.0,0.19956729945722557,-0.16104947062844216,0.948,0.953,0.5000000000000004,1000,0.3425617218017578
dinov2_g,20,coherent,4,0.1436730173676343,0.0,0.19889996804164034,-0.05522695067400604,0.815,0.814,-0.10000000000000009,1000,0.1919538974761963
dinov2_g,50,random,0,0.09231857087298977,0.0013891920306646484,0.17105246677588226,-0.0787338959028925,0.9064,0.9284,2.200000000000002,2500,1.0638494491577148
dinov2_g,50,random,1,0.037058579670516525,0.0026439797674697434,0.17005083072674124,-0.1329922510562247,0.9384,0.9496,1.1199999999999988,2500,0.8232533931732178
dinov2_g,50,random,2,0.06942589219953857,0.0026149080945673145,0.17058698379982132,-0.10116109160028275,0.956,0.966,1.0000000000000009,2500,0.7568767070770264
dinov2_g,50,random,3,0.05073696390278089,0.004588893615464334,0.17182693586198372,-0.12108997195920283,0.9176,0.9276,1.0000000000000009,2500,0.8024392127990723
dinov2_g,50,random,4,0.05068519796294341,0.0006562391696890962,0.17263198544722752,-0.12194678748428411,0.9072,0.9296,2.2399999999999975,2500,1.0404608249664307
dinov2_g,50,coherent,0,0.06473293099662107,0.0,0.17905954782230288,-0.1143266168256818,0.8484,0.8588,1.0399999999999965,2500,0.9499938488006592
dinov2_g,50,coherent,1,0.05910922706363734,0.0011672282096005266,0.1732544293975779,-0.11414520233394057,0.932,0.9264,-0.5600000000000049,2500,0.7699356079101562
dinov2_g,50,coherent,2,0.12198754667477789,0.0006396068800910281,0.19239502721255752,-0.07040748053777963,0.8088,0.8052,-0.35999999999999366,2500,0.7486376762390137
dinov2_g,50,coherent,3,0.07738431597504028,0.0024927014758883404,0.18415136972646046,-0.10676705375142018,0.8648,0.8784,1.3599999999999945,2500,0.8216123580932617
dinov2_g,50,coherent,4,0.12799725622998243,0.0006955107183688768,0.18177222292963313,-0.053774966699650706,0.836,0.834,-0.20000000000000018,2500,0.755974292755127
dinov2_g,100,random,0,0.08762479115506874,0.0021944866948447497,0.14086036686833414,-0.0532355757132654,0.9062,0.9186,1.2399999999999967,5000,1.8387188911437988
dinov2_g,100,random,1,0.058799695483765166,0.0012520411421890673,0.1414183418203055,-0.08261864633654033,0.892,0.904,1.200000000000001,5000,1.6803908348083496
dinov2_g,100,random,2,0.06690018212812476,0.003097129876622563,0.14058366376756437,-0.07368348163943961,0.918,0.9296,1.1599999999999944,5000,1.6377825736999512
dinov2_g,100,random,3,0.06598010128194022,0.0022265658820315574,0.1398156363123452,-0.07383553503040498,0.9198,0.9326,1.2800000000000034,5000,1.7663893699645996
dinov2_g,100,random,4,0.060591655708611504,0.006265873098723827,0.14142963968849287,-0.08083798397988137,0.9122,0.9286,1.639999999999997,5000,1.8849742412567139
dinov2_g,100,coherent,0,0.08092199325102628,0.007293470706715013,0.14345382795777628,-0.06253183470675,0.8518,0.866,1.419999999999999,5000,1.9096579551696777
dinov2_g,100,coherent,1,0.05077421708007449,0.0012265186871661176,0.14102102282973783,-0.09024680574966334,0.9166,0.9128,-0.38000000000000256,5000,1.9961285591125488
dinov2_g,100,coherent,2,0.11953653826349075,0.008983118453323113,0.15799900508488135,-0.038462466821390595,0.8014,0.7946,-0.6800000000000028,5000,1.6454949378967285
dinov2_g,100,coherent,3,0.07169015501434199,0.0010014673526781725,0.1445155936500921,-0.0728254386357501,0.8188,0.8334,1.4600000000000057,5000,1.7181661128997803
dinov2_g,100,coherent,4,0.12932993563033032,0.005445582613169237,0.14555352160468188,-0.016223585974351556,0.8524,0.8522,-0.0200000000000089,5000,1.9822640419006348
