model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,store_centroids,time_s
i21k_t,dtd,0.1399298739592871,0.0,0.18168603929889587,0.015272802139642603,-0.04175616533960877,-2.734021233158325,1.0,0,6.541078567504883
i21k_s,dtd,0.12325147231493895,0.0,0.17852400218914424,0.013755274612971387,-0.055272529874205306,-4.018278909683319,1.0,0,6.797659873962402
i21k_b,dtd,0.11773657062183053,0.0,0.1785834206818162,0.0130786981180791,-0.06084685005998569,-4.652362911861629,1.0,0,6.931323289871216
i21k_l,dtd,0.09745994519203148,1.3877787807814454e-17,0.1794069613760328,0.012072043708973662,-0.08194701618400133,-6.788164304200343,1.0,0,7.021587371826173
dinov1_b,dtd,0.12802947844009924,0.0015913018924607696,0.18497667341334434,0.013132236824506786,-0.056947194973245074,-4.304952313958564,1.0,0,6.981354475021362
dinov2_s,dtd,0.14050482573277406,2.7755575615628914e-17,0.18657582573984696,0.012137674455644796,-0.04607100000707296,-3.795702395498586,1.0,0,6.8307716846466064
dinov2_b,dtd,0.1117168882760948,1.3877787807814454e-17,0.1822609724589924,0.010546304014010362,-0.07054408418289762,-6.688986405965779,1.0,0,6.921813249588013
dinov2_l,dtd,0.10201216077699407,1.3877787807814454e-17,0.1826772856713953,0.011283333602040644,-0.08066512489440122,-7.149050780508037,1.0,0,7.109251022338867
dinov2_g,dtd,0.10937109419271562,0.0015851902816283626,0.18262931958170853,0.011059187868789592,-0.07325822538899293,-6.55717804639925,1.0,0,6.953569412231445
clip_b,dtd,0.11979528802337285,1.3877787807814454e-17,0.18152039684700988,0.014510141483515584,-0.06172510882363705,-4.253928805157454,1.0,0,6.878580093383789
clip_l,dtd,0.1307219730309844,0.0012150742496239485,0.18708440253248965,0.013449770495886972,-0.05636242950150525,-4.17358971322504,1.0,0,6.9706060886383066
siglip_b,dtd,0.12091829871670065,0.00027976829729008953,0.18325376648030792,0.012599307732770735,-0.06233546776360727,-4.9463118979656215,1.0,0,6.886192083358765
i21k_t,fashionmnist,0.1533356490177405,0.0,0.16494920423233525,0.02710796890492553,-0.011613555214594756,-0.42841849403496135,0.55,0,6.293023347854612
i21k_s,fashionmnist,0.10164670080883054,0.0,0.16152851588425074,0.025359925206933958,-0.0598818150754202,-2.3612772745499733,1.0,0,7.046192646026611
i21k_b,fashionmnist,0.09840654422505626,0.0,0.16741413722911924,0.025457161520561204,-0.06900759300406298,-2.710733989267697,1.0,0,8.050927400588991
i21k_l,fashionmnist,0.09336748126687247,1.3877787807814454e-17,0.17247172565564708,0.028632650458701205,-0.07910424438877461,-2.762728672390004,1.0,0,9.366910457611084
