model_a,model_b,knn_R,knn_H,knn_null,knn_cal_R,knn_cal_H,cka_R,cka_H,cka_null,cka_null_H,cka_cal_R,cka_cal_H,time_s
dinov2_b,clip_b,0.253,0.18560000000000001,0.009066666666666667,0.24393333333333334,0.17653333333333335,0.3636761009693146,0.37207809112479845,0.08056408911943436,0.08008667392191098,0.2831120118498802,0.29199141720288746,0.06078624725341797
dinov2_b,clip_l,0.2843,0.2257,0.009233333333333331,0.2750666666666667,0.21646666666666667,0.40220800042152405,0.41059004792973236,0.09963719795147578,0.09968189314823551,0.30257080247004825,0.31090815478149686,0.06590461730957031
dinov2_b,siglip_b,0.2889,0.21749999999999997,0.008733333333333334,0.2801666666666667,0.20876666666666663,0.401900053024292,0.41054967295739403,0.09668066849311192,0.09676248055331378,0.3052193845311801,0.31378719240408026,0.06563949584960938
dinov2_l,dinov2_g,0.7727999999999999,0.8101,0.002966666666666666,0.7698333333333333,0.8071333333333334,0.7591409087181091,0.7605919139394295,0.4088520407676697,0.41316863506846196,0.35028886795043945,0.3474232788709675,0.2115471363067627
dinov2_l,clip_b,0.1695,0.1348,0.0096,0.15990000000000001,0.1252,0.38583576679229736,0.39742533176883005,0.0909613420565923,0.09049051491911281,0.2948744247357051,0.30693481684971724,0.07969808578491211
dinov2_l,clip_l,0.1971,0.1718,0.0095,0.1876,0.1623,0.4207113981246948,0.432302123795488,0.1123411978284518,0.1124919751625041,0.308370200296243,0.3198101486329839,0.08892083168029785
dinov2_l,siglip_b,0.1983,0.1643,0.009466666666666667,0.18883333333333333,0.15483333333333332,0.41619518399238586,0.42780989615531473,0.10922166208426158,0.1094335491945989,0.30697352190812427,0.3183763469607158,0.08879256248474121
dinov2_g,clip_b,0.1701,0.1366,0.0098,0.1603,0.1268,0.3705412447452545,0.38084684306162014,0.0943896621465683,0.09427759016663652,0.2761515825986862,0.28656925289498364,0.12201738357543945
dinov2_g,clip_l,0.1967,0.1731,0.008866666666666667,0.18783333333333335,0.16423333333333334,0.41197261214256287,0.4222558755110888,0.1168222427368164,0.11740952761440006,0.29515036940574646,0.30484634789668874,0.1275644302368164
dinov2_g,siglip_b,0.19519999999999998,0.1645,0.008933333333333333,0.18626666666666666,0.1555666666666667,0.4053167402744293,0.4156506247444933,0.11356484144926071,0.11418852377030693,0.2917518988251686,0.3014621009741864,0.12950992584228516
clip_b,clip_l,0.7542,0.7049000000000001,0.0101,0.7441,0.6948000000000001,0.9705818891525269,0.9723642847818209,0.02574558121462663,0.02538472765763541,0.9448363079379002,0.9469795571241855,0.05819058418273926
clip_b,siglip_b,0.7186,0.6755,0.009733333333333333,0.7088666666666666,0.6657666666666666,0.9543693661689758,0.9571959515886957,0.025056324899196625,0.02471943892471895,0.9293130412697792,0.9324765126639768,0.0584559440612793
clip_l,siglip_b,0.7603,0.7264999999999999,0.009966666666666667,0.7503333333333333,0.7165333333333332,0.9510275721549988,0.9526794472855608,0.031235383823513985,0.03106447013243942,0.9197921883314848,0.9216149771531214,0.06590080261230469
