dinov2_g  C=  10 random   s1 | delta 0.0282 exc -0.1229 | NC 97.40->97.60 (+0.20pp, n=500) | 0s
dinov2_g  C=  10 random   s2 | delta 0.0191 exc -0.1312 | NC 99.40->99.60 (+0.20pp, n=500) | 0s
dinov2_g  C=  10 random   s3 | delta 0.0373 exc -0.1170 | NC 92.00->93.40 (+1.40pp, n=500) | 0s
dinov2_g  C=  10 random   s4 | delta 0.0288 exc -0.1205 | NC 92.80->93.80 (+1.00pp, n=500) | 0s
dinov2_g  C=  10 coherent s0 | delta 0.0415 exc -0.1255 | NC 81.80->81.80 (+0.00pp, n=500) | 0s
dinov2_g  C=  10 coherent s1 | delta 0.0360 exc -0.1479 | NC 82.60->79.40 (-3.20pp, n=500) | 0s
dinov2_g  C=  10 coherent s2 | delta 0.1176 exc -0.0518 | NC 90.80->91.00 (+0.20pp, n=500) | 0s
dinov2_g  C=  10 coherent s3 | delta 0.0337 exc -0.1130 | NC 96.80->97.20 (+0.40pp, n=500) | 0s
dinov2_g  C=  10 coherent s4 | delta 0.1307 exc -0.0330 | NC 82.80->82.60 (-0.20pp, n=500) | 0s
dinov2_g  C=  20 random   s0 | delta 0.0907 exc -0.1097 | NC 93.30->95.00 (+1.70pp, n=1000) | 0s
dinov2_g  C=  20 random   s1 | delta 0.0288 exc -0.1665 | NC 95.00->96.20 (+1.20pp, n=1000) | 0s
dinov2_g  C=  20 random   s2 | delta 0.0250 exc -0.1716 | NC 97.00->97.80 (+0.80pp, n=1000) | 0s
dinov2_g  C=  20 random   s3 | delta 0.0373 exc -0.1597 | NC 91.90->93.10 (+1.20pp, n=1000) | 0s
dinov2_g  C=  20 random   s4 | delta 0.0297 exc -0.1661 | NC 92.00->93.60 (+1.60pp, n=1000) | 0s
dinov2_g  C=  20 coherent s0 | delta 0.0495 exc -0.1424 | NC 86.90->87.20 (+0.30pp, n=1000) | 0s
dinov2_g  C=  20 coherent s1 | delta 0.0341 exc -0.1618 | NC 90.20->88.90 (-1.30pp, n=1000) | 0s
dinov2_g  C=  20 coherent s2 | delta 0.1199 exc -0.0808 | NC 83.30->83.00 (-0.30pp, n=1000) | 0s
dinov2_g  C=  20 coherent s3 | delta 0.0385 exc -0.1610 | NC 94.80->95.30 (+0.50pp, n=1000) | 0s
dinov2_g  C=  20 coherent s4 | delta 0.1437 exc -0.0552 | NC 81.50->81.40 (-0.10pp, n=1000) | 0s
dinov2_g  C=  50 random   s0 | delta 0.0923 exc -0.0787 | NC 90.64->92.84 (+2.20pp, n=2500) | 1s
dinov2_g  C=  50 random   s1 | delta 0.0371 exc -0.1330 | NC 93.84->94.96 (+1.12pp, n=2500) | 1s
dinov2_g  C=  50 random   s2 | delta 0.0694 exc -0.1012 | NC 95.60->96.60 (+1.00pp, n=2500) | 1s
dinov2_g  C=  50 random   s3 | delta 0.0507 exc -0.1211 | NC 91.76->92.76 (+1.00pp, n=2500) | 1s
dinov2_g  C=  50 random   s4 | delta 0.0507 exc -0.1219 | NC 90.72->92.96 (+2.24pp, n=2500) | 1s
dinov2_g  C=  50 coherent s0 | delta 0.0647 exc -0.1143 | NC 84.84->85.88 (+1.04pp, n=2500) | 1s
dinov2_g  C=  50 coherent s1 | delta 0.0591 exc -0.1141 | NC 93.20->92.64 (-0.56pp, n=2500) | 1s
dinov2_g  C=  50 coherent s2 | delta 0.1220 exc -0.0704 | NC 80.88->80.52 (-0.36pp, n=2500) | 1s
dinov2_g  C=  50 coherent s3 | delta 0.0774 exc -0.1068 | NC 86.48->87.84 (+1.36pp, n=2500) | 1s
dinov2_g  C=  50 coherent s4 | delta 0.1280 exc -0.0538 | NC 83.60->83.40 (-0.20pp, n=2500) | 1s
dinov2_g  C= 100 random   s0 | delta 0.0876 exc -0.0532 | NC 90.62->91.86 (+1.24pp, n=5000) | 2s
dinov2_g  C= 100 random   s1 | delta 0.0588 exc -0.0826 | NC 89.20->90.40 (+1.20pp, n=5000) | 2s
dinov2_g  C= 100 random   s2 | delta 0.0669 exc -0.0737 | NC 91.80->92.96 (+1.16pp, n=5000) | 2s
dinov2_g  C= 100 random   s3 | delta 0.0660 exc -0.0738 | NC 91.98->93.26 (+1.28pp, n=5000) | 2s
dinov2_g  C= 100 random   s4 | delta 0.0606 exc -0.0808 | NC 91.22->92.86 (+1.64pp, n=5000) | 2s
dinov2_g  C= 100 coherent s0 | delta 0.0809 exc -0.0625 | NC 85.18->86.60 (+1.42pp, n=5000) | 2s
dinov2_g  C= 100 coherent s1 | delta 0.0508 exc -0.0902 | NC 91.66->91.28 (-0.38pp, n=5000) | 2s
dinov2_g  C= 100 coherent s2 | delta 0.1195 exc -0.0385 | NC 80.14->79.46 (-0.68pp, n=5000) | 2s
